2016-06-30,土豆,1.6,北京朝阳区大洋路农副产品批发市场
2016-06-30,土豆,1.3,北京丰台区新发地农产品批发市场
2016-06-30,土豆,2.0,北京市华垦岳各庄批发市场
2016-06-30,土豆,1.2,北京市锦绣大地农副产品批发市场
2016-06-30,土豆,1.7,北京市通州八里桥农产品中心批发市场
2016-06-30,土豆,2.0,北京顺义区顺鑫石门农产品批发市场
2016-06-30,土豆,2.7,北京昌平水屯农副产品批发市场
2016-06-30,土豆,2.0,北京市日上综合商品批发市场
2016-06-30,土豆,1.2,天津市东丽区金钟蔬菜市场
2016-06-30,土豆,1.1,天津市西青区当城蔬菜批发市场
2016-06-30,土豆,1.6,天津何庄子批发市场
2016-06-30,土豆,3.8,天津市韩家墅农产品批发市场
2016-06-30,土豆,1.3,天津市武清区大沙河蔬菜批发市场
2016-06-30,土豆,1.2,河北秦皇岛（昌黎）农副产品批发市场
2016-06-30,土豆,1.1,石家庄桥西蔬菜中心批发市场
2016-06-30,土豆,1.6,荷花坑批发市场
2016-06-30,土豆,1.04,河北乐亭县冀东果蔬批发市场
2016-06-30,土豆,0.7,河北秦皇岛海阳农副产品批发市场
2016-06-30,土豆,1.4,河北省邯郸市（馆陶）金凤禽蛋农贸批发市场
2016-06-30,土豆,3.2,河北邯郸（魏县）天仙果品农贸批发交易市场
2016-06-30,土豆,2.4,中国张北蔬菜城
2016-06-30,土豆,1.4,河北省怀来县京西果菜批发市场
2016-06-30,土豆,2.0,河北三河市建兴农副产品批发市场
2016-06-30,土豆,1.4,山西晋城绿欣农产品批发市场
2016-06-30,土豆,1.8,山西太原市城东利民果菜批发市场
2016-06-30,土豆,1.7,太原市河西农副产品市场
2016-06-30,土豆,1.2,山西阳泉蔬菜瓜果批发市场
2016-06-30,土豆,1.7,山西长治市紫坊农副产品综合交易市场
2016-06-30,土豆,2.0,晋城绿盛农业技术开发有限公司
2016-06-30,土豆,1.4,山西运城市蔬菜批发市场
2016-06-30,土豆,1.2,晋新绛蔬菜批发市场
2016-06-30,土豆,1.6,山西汾阳市晋阳农副产品批发市场
2016-06-30,土豆,2.3,山西省临汾市尧丰农副产品批发市场
2016-06-30,土豆,2.0,山西省吕梁离石马茂庄农贸批发市场
2016-06-30,土豆,2.0,山西孝义蔬菜批发交易市场
2016-06-30,土豆,1.4,内蒙古美通食品批发市场
2016-06-30,土豆,2.0,内蒙古包头市友谊蔬菜批发市场
2016-06-30,土豆,1.5,内蒙古赤峰西城蔬菜批发市场
2016-06-30,土豆,1.65,大连双兴批发市场
2016-06-30,土豆,0.8,辽宁鞍山宁远农产品批发市场
2016-06-30,土豆,1.3,辽宁省朝阳果菜批发市场
2016-06-30,土豆,1.5,吉林辽源市物流园区仙城水果批发市场
2016-06-30,土豆,1.7,黑龙江哈尔滨哈达果菜批发市场有限公司
2016-06-30,土豆,1.6,黑龙江鹤岗万圃源蔬菜批发市场
2016-06-30,土豆,1.8,上海市江桥批发市场
2016-06-30,土豆,2.3,上海农产品中心批发市场有限公司
2016-06-30,土豆,2.0,南京农副产品物流中心
2016-06-30,土豆,1.82,江苏无锡朝阳市场
2016-06-30,土豆,3.3,江苏宜兴蔬菜副食品批发市场
2016-06-30,土豆,2.2,江苏徐州七里沟农副产品中心
2016-06-30,土豆,1.3,江苏淮海蔬菜批发市场
2016-06-30,土豆,2.0,江苏丰县南关农贸市场
2016-06-30,土豆,1.8,江苏凌家塘农副产品批发市场
2016-06-30,土豆,2.0,苏州市南环桥农副产品批发市场
2016-06-30,土豆,2.4,江苏扬州联谊农副产品批发市场
2016-06-30,土豆,2.2,浙江嘉兴蔬菜批发交易市场
2016-06-30,土豆,3.0,浙江嘉善浙北果蔬菜批发交易
2016-06-30,土豆,2.4,浙江绍兴蔬菜果品批发交易中心
2016-06-30,土豆,2.5,浙江省金华农产品批发市场
2016-06-30,土豆,2.0,安徽合肥周谷堆农产品批发市场
2016-06-30,土豆,1.9,安徽马鞍山安民农副产品批发交易市场
2016-06-30,土豆,2.25,安徽安庆市龙狮桥蔬菜批发市场
2016-06-30,土豆,3.4,安徽砀山农产品中心惠丰批发市场
2016-06-30,土豆,2.5,安徽六安裕安区紫竹林农产品批发市场
2016-06-30,土豆,1.6,安徽亳州蔬菜批发市场
2016-06-30,土豆,1.91,海峡农副产品批发物流中心
2016-06-30,土豆,3.6,福建福鼎闽浙边界农贸中心市场
2016-06-30,土豆,2.9,江西南昌农产品中心批发市场
